Entity,Code,Year,"Total population (Gapminder, HYDE & UN)",Continent,Life_expect_ male,Life_expect_female
Iran,IRN,2019,82914000,,75.593,77.885
Iraq,IRQ,2019,39310000,,68.565,72.652
Ireland,IRL,2019,4882000,,80.667,83.909
Isle of Man,IMN,2019,85000,,,
Israel,ISR,2019,8519000,,81.331,84.505
Italy,ITA,2019,60550000,,81.325,85.539
Jamaica,JAM,2019,2948000,,72.868,76.118
Japan,JPN,2019,126860000,,81.497,87.669
Jordan,JOR,2019,10102000,,72.839,76.306
Kazakhstan,KAZ,2019,18551000,,69.23,77.669
Kenya,KEN,2019,52574000,,64.313,69.049
Kiribati,KIR,2019,118000,,64.248,72.342
Kuwait,KWT,2019,4207000,,74.76,76.58
Kyrgyzstan,KGZ,2019,6416000,,67.437,75.603
Land-locked Developing Countries (LLDC),,2019,,,63.545,67.935
Laos,LAO,2019,7169000,,66.142,69.746
Latin America,,2019,648121024,,,
Latin America and the Caribbean,,2019,,,72.291,78.7
Latvia,LVA,2019,1907000,,70.233,80.012
Least Developed Countries,,2019,,,63.285,67.047
Lebanon,LBN,2019,6856000,,77.14,80.869
Lesotho,LSO,2019,2125000,,51.201,57.58
Less Developed Regions,,2019,,,68.958,73.225
"Less Developed Regions, excluding China",,2019,,,67.399,71.568
"Less Developed Regions, excluding Least Developed Countries",,2019,,,70.171,74.487
Liberia,LBR,2019,4937000,,62.715,65.497
Libya,LBY,2019,6777000,,70.097,75.951
Liechtenstein,LIE,2019,38000,,,
Lithuania,LTU,2019,2760000,,70.294,81.371
Low-income countries,,2019,,,62.011,65.952
Lower-middle-income countries,,2019,,,66.688,70.315
Luxembourg,LUX,2019,616000,,80.157,84.346
Macao,MAC,2019,640000,,81.281,87.179
Macedonia,MKD,2019,2083000,,73.794,77.846
Madagascar,MDG,2019,26969000,,65.417,68.682
Malawi,MWI,2019,18629000,,61.101,67.413
Malaysia,MYS,2019,31950000,,74.234,78.317
Maldives,MDV,2019,531000,,77.523,80.779
Mali,MLI,2019,19658000,,58.529,60.085
Malta,MLT,2019,440000,,80.699,84.263
Marshall Islands,MHL,2019,59000,,,
Martinique,MTQ,2019,376000,,79.199,85.617
Mauritania,MRT,2019,4526000,,63.305,66.515
Mauritius,MUS,2019,1270000,,71.652,78.458
Mayotte,MYT,2019,266000,,76.163,82.973
Melanesia,OWID_MNS,2019,,,64.367,67.162
Mexico,MEX,2019,127576000,,72.203,77.879
Micronesia (country),FSM,2019,114000,,66.232,69.596
Middle Africa,,2019,,,58.147,61.611
Middle-income countries,,2019,,,69.523,74.081
Moldova,MDA,2019,4043000,,67.624,76.157
Monaco,MCO,2019,39000,,,
Mongolia,MNG,2019,3225000,,65.799,74.142
Montenegro,MNE,2019,628000,,74.441,79.303
